layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.1.ln_2.weight,384,-1.2925760746002197,1.5635529535068662,-0.11632671,0.021664392,0.18623747,False,1250,1250_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-1.5836985111236572,-0.9956280654298785,-24.999802,11.173835,0.44695693,False,1250,1250_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,3.119565371889621e-05,-1.000000072808662,-21.408863,13.248781,0.61884564,False,1250,1250_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,-0.355924129486084,-0.9968316122163868,-9.95079,4.6846023,0.4707769,False,1250,1250_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,4.5675429305447324e-07,-1.0000000026120714,-6.7090044,4.2052503,0.6268069,False,1250,1250_ckpt.pt
transformer.h.2.ln_1.weight,384,-0.4439029395580292,2.2257333745128074,-0.022629758,0.015079835,0.66637194,False,1250,1250_ckpt.pt
transformer.h.2.ln_2.weight,384,-1.1275930404663086,0.5536221505368737,-0.14104389,0.034317173,0.24330847,False,1250,1250_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,-7.440732479095459,-0.9886728143222251,-19.238035,17.304829,0.8995112,False,1250,1250_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,4.695740790339187e-05,-1.0000001464431845,-8.344002,7.943241,0.9519702,False,1250,1250_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,-0.8117750883102417,-0.9934758262411718,-8.927058,6.1224756,0.6858335,False,1250,1250_ckpt.pt
transformer.h.3.attn.c_proj.weight,147456,3.6827673284278717e-06,-1.0000000275842318,-3.3382497,3.2137523,0.9627058,False,1250,1250_ckpt.pt
transformer.h.3.ln_1.weight,384,-0.8592237234115601,2.6386400592427095,-0.030562563,0.012223445,0.3999483,False,1250,1250_ckpt.pt
transformer.h.3.ln_2.weight,384,-1.0213977098464966,2.154321998263237,-0.12406081,0.048602767,0.39176568,False,1250,1250_ckpt.pt
transformer.h.3.mlp.c_fc.weight,589824,-5.165128231048584,-0.9837644684919334,-23.341412,20.094114,0.8608783,False,1250,1250_ckpt.pt
transformer.h.3.mlp.c_proj.weight,589824,0.0001091584053938277,-1.0000004178478488,-7.620561,5.8543744,0.768234,False,1250,1250_ckpt.pt
transformer.h.4.attn.c_attn.weight,442368,-0.09694176912307739,-0.9992393362476757,-12.166552,7.04719,0.5792266,False,1250,1250_ckpt.pt
transformer.h.4.attn.c_proj.weight,147456,4.310046278988011e-06,-1.0000000302141605,-4.4169807,3.187814,0.7217179,False,1250,1250_ckpt.pt
transformer.h.4.ln_1.weight,384,-0.3160480856895447,0.5528755968632558,-0.037033603,0.0174358,0.47081026,False,1250,1250_ckpt.pt
transformer.h.4.ln_2.weight,384,0.39949148893356323,-1.338814657910994,-0.12950306,0.07213475,0.55701196,False,1250,1250_ckpt.pt
transformer.h.4.mlp.c_fc.weight,589824,-7.823400497436523,-0.9946365039771938,-38.15474,29.30204,0.767979,False,1250,1250_ckpt.pt
transformer.h.4.mlp.c_proj.weight,589824,3.3094602258643135e-05,-1.0000001267899827,-5.4387403,5.8700237,1.0792984,False,1250,1250_ckpt.pt
transformer.h.5.attn.c_attn.weight,442368,0.8192760944366455,-1.019157992613102,-13.824886,10.786268,0.7802066,False,1250,1250_ckpt.pt
transformer.h.5.attn.c_proj.weight,147456,6.399790777322778e-07,-1.000000006646692,-2.1689498,2.2952743,1.0582422,False,1250,1250_ckpt.pt
transformer.h.5.ln_1.weight,384,0.014579927548766136,2.012782134575394,-0.025141187,0.032437153,1.2901998,False,1250,1250_ckpt.pt
transformer.h.5.ln_2.weight,384,-0.04151799902319908,-1.0631010080644818,-0.10869693,0.08160755,0.75078064,False,1250,1250_ckpt.pt
transformer.h.5.mlp.c_fc.weight,589824,0.8969966173171997,-0.9992204520282612,-27.882208,27.894114,1.000427,False,1250,1250_ckpt.pt
transformer.h.5.mlp.c_proj.weight,589824,5.767800030298531e-05,-1.000000259565599,-1.43527,2.808222,1.9565811,False,1250,1250_ckpt.pt
transformer.h.0.attn.c_attn.weight,442368,1.7447251081466675,-1.011393871450508,-102.27037,92.432625,0.9038065,False,1500,1500_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,-4.006547533208504e-05,-0.9999978370999631,-422.2373,225.7505,0.5346531,False,1500,1500_ckpt.pt
transformer.h.0.ln_1.weight,384,-6.251148700714111,20.961749467884847,-0.089942575,0.07640219,0.8494552,False,1500,1500_ckpt.pt
transformer.h.0.ln_2.weight,384,-2.3437654972076416,1.494404707141389,-0.19124123,0.10539793,0.5511256,False,1500,1500_ckpt.pt
